protein	X015_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3528.SQ.1.lean_A1	X016_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3525.SQ.1.obese_A2	X017_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3521.OM.2.lean_A3	X018_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3523.SQ.4.obese_A4	X019_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3518.SQ.2.obese_A5	X020_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3530.SQ.2.lean_A6	X021_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3505.SQ.2.obese_A7	X022_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3506.OM.2.obese_A8	X023_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3507.OM.1.obese_A9	X024_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3532.OM.1.obese_A10	X025_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3512.OM.2.obese_A11	X026_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3525.OM.1.obese_A12	X027_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3506.SQ.4.obese_B1	X028_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3529.OM.4.obese_B2	X029_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3531.OM.1.obese_B3	X030_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3519.OM.2.obese_B4	X031_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3522.OM.2.obese_B5	X032_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3503.SQ.1.lean_B6	X034_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3523.OM.4.obese_B7	X035_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3533.SQ.2.lean_B8	X036_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3514.OM.4.obese_B9	X037_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3508.OM.3.obese_B10	X038_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3502.OM.1.obese_B11	X039_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3501.OM.4.obese_B12	X040_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3520.OM.4.obese_C1	X041_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3502.SQ.2.obese_C2_low_27ug	X042_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3527.OM.2.obese_C3	X043_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3503.OM.2.lean_C4	X044_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3501.SQ.2.obese_C5	X045_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3504.OM.2.lean_C6	X086_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3516.OM.1.obese_C7	X087_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3529.SQ.1.obese_C8	X088_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3527.SQ.1.obese_C9	X089_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3517.SQ.4.obese_C10	X090_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3522.SQ.1.obese_C11	X091_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3505.OM.4.obese_C12	X092_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3524.OM.2.obese_D1	X093_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3528.OM.2.lean_D2	X094_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3521.SQ.3.lean_D3	X095_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3516.SQ.4.obese_D4	X096_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3532.SQ.2.obese_D5	X097_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3509.SQ.1.obese_D6	X098_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3515.OM.1.lean_D7	X099_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3517.OM.4.obese_D8	X100_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3514.SQ.2.obese_D9	X102_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3512.SQ.1.obese_D10	X103_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3510.OM.2.obese_D11	X104_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3515.SQ.4.lean_D12	X105_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3519.SQ.4.obese_E1	X106_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3504.SQ.4.lean_E2_low_12ug	X107_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3520.SQ.4.obese_E3	X108_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3531.SQ.4.obese_E4	X109_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3508.SQ.1.obese_E5	X110_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3518.OM.1.obese_E6	X111_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3507.SQ.4.obese_E7	X112_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3509.OM.1.obese_E8	X113_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3513.SQ.4.lean_E9	X114_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3524.SQ.1.obese_E10	X115_Dora_Neo_2024_0311_adipose_Exp1_15cm_neopepsep_60m_51.3510.SQ.1.obese_E11
sp|A0A075B6H7|KV37_HUMAN	26.3137644390853	24.1197500042776	25.1135494885702	24.261524355523	23.9855767492925	24.0468239125856	24.0487303406466	24.7998803486715	25.5770120460825	24.6634503932837	24.8616455378154	24.4326879382411	26.2893098415507	24.5257799249249	23.4559200245708	23.5381338680323	26.1155574580245	25.3449238551404	24.1898588339305	25.5831310178587	23.530093809375	24.1277644988278	24.5130547019525	24.6014034614949	25.7012579888826	23.7255659336931	24.7060778584391	24.7605261907835	24.3952527324977	23.4241158183044	24.3590230438359	24.8842985835222	24.0069093706511	23.8508913282419	26.6382421389511	22.9816412083487	23.3685806439976	24.4498963978726	24.4035333357023	25.0206406516277	22.5061561915255	25.7683041468815	25.1509577233983	24.0250704177914	24.6668762095283	24.9809703173495	24.772643615406	24.5971140643682	23.2664984657579	25.2837667430181	25.152245375775	24.1357584047871	23.2594265148071	23.9803907547977	23.9813566270789	24.5766981597245	23.7810462784824	23.6613554068237	25.6282513108682
sp|A0A075B6H9|LV469_HUMAN	22.7205855203658	24.2995262353215	23.5908844379365	25.0112097867832	24.8720712502657	24.2128931413334	24.3317758066801	23.4924451917985	24.9653170171481	24.0030486989546	24.0036580167686	23.9727184577294	25.1898708812397	24.8648155205222	24.1970610416255	23.8385042010672	23.9961096838672	24.9038599839199	25.0413357372284	24.5998493974434	22.8601792968086	23.9301120615938	24.2899123092621	23.1429056372265	25.3108896551757	24.0121914776747	24.0120280804575	25.041100300782	22.8769771831372	23.9240821890617	24.3159981367774	25.351844152955	23.9005068395552	24.0167755541776	23.5862719762487	24.0608681824876	23.5670705031539	22.9103303671904	24.1861851229463	23.8309120715542	23.8125642451803	24.9454269356814	24.4848048782925	24.8644480237362	24.2815826887411	24.0491123754924	24.1076510463521	24.8868306032349	23.8912445846371	25.2555375325655	24.4562394424993	25.3265471778263	23.5180943979361	24.3605685615709	23.6330284222477	23.9092905112817	24.1331263700897	24.5961892430623	24.8818488508722
sp|A0A075B6I0|LV861_HUMAN	26.3770087319623	24.3499817439235	25.071945856656	26.6962018463551	27.2116535595179	26.3887819167792	26.1627250101213	25.5149837841254	26.5633703308232	26.8108863756379	26.9473923356019	24.2184974884555	26.7964375483378	26.1175305360441	25.540305924528	25.8687492722705	26.9516630225901	26.1791637667658	26.7907400397769	26.0255031432172	26.2148371223968	26.1178183979089	26.6207883403641	24.3050229377968	26.4059220434323	25.2876471073394	20.5061196902728	25.7055847739705	24.38467818026	24.9887396762494	25.0359460942264	27.2168364520765	21.6456879393529	26.344082496184	27.0693176072147	24.4108876145312	24.6448709885264	24.7567865703419	24.8653276837383	24.7484519308284	25.8171905956974	26.4950520599069	26.265046703244	26.8110530622062	26.351667105971	26.1813135776806	27.0878789706964	26.6986539897845	25.2667513046401	26.0075492466336	25.7182405122154	26.1798793748556	25.0648645674926	26.1334628067552	25.3428569367243	25.912140327218	25.8510644732933	25.463426197241	27.2818094655582
sp|A0A075B6I1|LV460_HUMAN	20.4121839619398	22.2296097539945	20.2026335348451	20.5583572786013	19.7672526653602	19.1110610527321	22.9234578702014	20.3488640772281	19.8531196964714	19.15630058042	19.3954988622798	19.2133735830081	19.1759482132858	19.6805172457945	19.486112050176	19.1050849108646	20.6119832384164	19.4577679211995	20.0406713263501	22.7197393242541	19.8315240480103	19.9423608487078	19.7652384846892	17.8287628960796	19.8959017945728	19.7447480671958	19.2474783283083	19.7883350807625	22.520664711333	19.6404565505008	19.3875840087536	19.1314172189246	19.5323549164339	20.0013439637424	20.4865602350564	20.0954595407613	20.1224575223907	18.4204394122935	22.3699247828074	19.5594028640487	18.5420962559436	20.6549002484267	19.2349394122905	20.503833836192	20.3159984634019	20.2236697350057	21.5041394307689	19.0227049914541	19.8308136889596	19.3909218398406	19.3456425675338	18.4858827356394	19.9965213577849	20.1805853742731	22.4832215135616	20.24092091552	20.394656371401	18.8730735243115	19.6577413804638
sp|A0A075B6I4|LVX54_HUMAN	21.2564371506956	22.2872268245008	21.0599712690942	22.7293488715176	17.4272310529949	18.4826716681033	22.355071639056	17.5717600973473	19.0828729558741	22.5174664089958	18.0271085049331	22.7554076628484	19.4350105754885	22.2051200944942	22.4504811387348	20.93563040639	20.1942091726337	22.7498973462221	22.1969459019628	15.7298046242689	21.2920716806659	20.4837472048659	21.4533461577722	18.5875220746253	19.6685962434109	21.1655762115297	17.6440417926038	24.2763003827807	19.1144676103029	17.4919795720088	24.8121104111978	22.9442481728643	18.0978334864334	21.8664645217346	19.4486497664498	21.9679510877606	17.3788591777015	18.429365894264	20.6008647854917	24.6268650736375	19.4072446301074	20.7221230404905	19.3778862213784	23.3449364133147	22.1294697307762	17.4563655120394	20.1706904144103	20.562373331289	20.5965581549079	18.0783661671584	18.3886604793432	23.2558000880846	19.0903081575141	16.553661841849	19.211335813737	20.1810134403867	17.5503533221755	18.7353531953874	19.9231323248139
sp|A0A075B6I9|LV746_HUMAN	26.9802623921728	26.8872811778319	26.180931347094	27.4077625805215	26.9973708781668	27.1946974361538	27.40138780177	28.0622480521493	26.9798104963745	26.9622892720801	26.9090608440545	26.5261394014387	29.4370349170997	26.0750758480318	26.2347131503806	26.4148609278845	27.51390642568	27.0563969189371	27.0748663192687	26.1202851267528	27.0768267827294	27.2373540524191	27.7917405279303	26.1189265210528	27.2428176020155	27.7415013765289	26.4881728020864	27.9039998593666	26.0574259259332	25.3500314594777	26.6936328926583	27.0042550958201	26.3164940573855	26.655329211451	27.5999583886513	26.9972455203264	26.5022500403234	26.3625566505737	27.2182440082633	26.0673724082142	26.2366550477666	27.0381109710564	26.4282879992228	27.4828261821923	27.1422852705974	26.5965271269431	26.7661256286202	27.4763772752183	25.5881794871497	27.6599573426593	26.9626045605193	26.7059384696795	26.8798924660914	26.4789309732579	25.5967626545676	26.4651534910148	26.3582067196806	26.9023493369688	27.2675795622454
sp|A0A075B6J1|LV537_HUMAN	19.9868218359883	21.4329549371849	19.8797343504971	20.4199855348473	17.6826738494987	19.7072453176102	19.9390608971048	20.4697361835602	21.4498033149681	19.5705821686665	21.4706316890162	20.9262871624418	21.6568088372204	20.877863140925	17.3160952449663	21.6484354137908	20.9610432590761	19.177266110593	19.9712633992168	21.0838305346182	21.4831644407802	21.2752518610808	20.5852444632928	19.3133403339057	22.387817809407	20.1112115543142	20.3809503300434	20.8480743748316	19.9350180399352	20.9211417318919	19.6984369317776	21.9064214837114	20.4792798156026	20.2265973364169	20.8603131348883	19.7809955405501	20.3328343791565	20.7614288398513	20.2596838168639	16.8114565491803	19.4495615909581	20.4885113934415	20.5577167918445	20.2477025051829	20.9968952473251	21.0132541979029	23.0111211945969	21.0325682782258	19.4023777067589	22.1035448489337	22.1071942663577	19.4538653576571	20.7582340046405	16.2423079256924	20.394436121438	20.2921197861782	19.8840270151486	20.7447128430012	24.0586446389154
sp|A0A075B6J9|LV218_HUMAN	23.332062560365	22.3296243495633	22.256953225737	25.6242540333152	24.2367871451667	21.390396668452	23.1217451174423	23.657869549553	23.9927054033596	22.4276450646177	24.3760605260115	22.3916745001567	25.1233633604554	22.7736058567904	20.5815278947332	22.7277833014544	24.9505501552661	22.8032895524915	25.0964309479597	23.3576495428737	24.3260002179239	23.3937219321013	24.5973764379271	23.1302999853468	24.6595097876619	24.4275784069226	23.2063344426315	24.5217922529516	22.7774072949642	23.2303540964479	23.1842869137317	23.5731211762772	22.8728310846351	22.6654689023768	24.4323419771878	23.1036134418094	21.9113523363261	22.0932626085816	21.7517578075844	23.1013265523088	21.846528370313	23.1928927257241	23.0696114995063	24.6679247146111	24.83323888377	24.4455112121785	23.3093654032395	24.0620637070296	23.1980379108184	23.2174201279769	23.9470126072538	22.1341768015222	22.3041544052136	22.5641840020852	23.4164042860757	23.558453121157	24.2850153879391	22.1603811735912	24.090996507413
sp|A0A075B6K4|LV310_HUMAN	26.3132997262074	24.9437872889523	25.9875636948456	26.3761185522189	26.0195740481088	25.8805579738415	26.0740472966184	23.6287621537101	26.764049030607	27.058070243533	25.4931690473807	24.1233565352422	25.1894062006425	23.9453372431701	25.515383613429	25.4589282748981	26.8810550007939	27.5494376574505	26.1677618992694	25.574467602627	26.035135675048	25.7060035027374	27.2710458799752	25.6329930860996	27.1332030804279	26.3459487507347	26.4946304276202	28.0047109362922	25.3980232524869	25.4944318104488	26.4093691165366	25.2714996744353	26.7137066031053	26.4942684428866	26.2679676839556	25.4422693249362	26.325971740484	25.0963183140892	26.1565052768192	27.3133482671664	26.496947295482	26.5944198584122	25.8046930881257	26.9455308733575	25.3784385484233	25.2552674242565	25.9537744464979	26.6102714571937	24.0496232748357	26.2423711176972	26.4366044869832	26.0067908599902	24.9807906708768	25.2541682058745	25.4707295117042	25.8337687930467	25.7885614563666	26.8073741370815	26.5057462715252
sp|A0A075B6K5|LV39_HUMAN	27.9639693654132	26.9547237406356	26.9897870869522	27.6416103008181	26.9217643483418	27.2979804288711	27.0441753556479	26.6981701693056	27.7312485469458	27.4348752873544	27.0277819577807	25.504620327504	27.6937326101787	26.8867499229287	26.473866562291	27.233923038676	28.5770510523972	27.9273915271191	27.2200792425219	27.7553002682586	27.0408807804817	26.717465587173	27.2119909255047	25.5497229371856	28.2894580276687	26.4612544318736	27.9739802710506	28.7647035344304	25.5547920659321	26.8855538593415	27.5550347783893	27.7687763021214	27.5054068608622	27.0371422743669	28.3803779979968	26.9354157806776	27.0275371197957	26.8558994127661	26.705336266413	27.7708757491667	26.9788277734697	26.9092657328242	26.3708888184827	27.5183133036589	27.5315582140703	26.9170246480188	27.0019505534725	26.2749574826745	26.9173355471496	27.8339227598352	27.7425785495578	27.2906092221124	25.6888043554219	26.2042274147263	27.175507634829	26.3358566402232	26.8964972542275	27.2573547355348	28.3910537925032
