Protein,Mean OM Protein Peak Area,Mean SC Protein Peak Area,log2(Fold Change),P Value,Adjusted P Value
sp|Q9UNN8|EPCR_HUMAN,50729821.46553599,16035310.560987523,-1.8105663086130395,7.450580596923828e-09,3.575533628463745e-06
sp|O94788|AL1A2_HUMAN,1876587698.603248,345944607.4274283,-2.3447324522432313,7.450580596923828e-09,3.575533628463745e-06
sp|Q8WWA0|ITLN1_HUMAN,128637845.3316295,11864321.263318582,-3.462664517107567,7.450580596923828e-09,3.575533628463745e-06
sp|Q8WUT4|LRRN4_HUMAN,29244081.269676663,9781089.91546853,-1.616691254013489,7.450580596923828e-09,3.575533628463745e-06
sp|P26447|S10A4_HUMAN,199130829.0728113,479179024.5107495,1.1171875936514997,7.450580596923828e-09,3.575533628463745e-06
sp|Q5VT79|AXA81_HUMAN,230245783.86871713,35262195.55077522,-2.4443650330277253,7.450580596923828e-09,3.575533628463745e-06
sp|Q96AM1|MRGRF_HUMAN,9785571.312378207,2869711.680681082,-1.9800853998243575,7.450580596923828e-09,3.575533628463745e-06
sp|P13928|ANXA8_HUMAN,225655632.4163067,34253294.37519837,-2.488640028974224,7.450580596923828e-09,3.575533628463745e-06
sp|P09972|ALDOC_HUMAN,399992957.85385615,1432553999.946881,1.6751095112481107,7.450580596923828e-09,3.575533628463745e-06
sp|P09110|THIK_HUMAN,40000507.37823431,70564662.62769715,0.7878253099181532,7.450580596923828e-09,3.575533628463745e-06
sp|P50453|SPB9_HUMAN,175828509.75996542,101569303.10793936,-0.753166074946886,1.4901161193847656e-08,5.5008209668673e-06
sp|P21246|PTN_HUMAN,6624284.828534449,1094611.3173578205,-2.5157110925923214,1.4901161193847656e-08,5.5008209668673e-06
sp|P00750|TPA_HUMAN,2143704.5483604376,1031509.2833554398,-1.218659688497482,1.4901161193847656e-08,5.5008209668673e-06
sp|O00592|PODXL_HUMAN,19952444.786410373,7551190.142958618,-1.3526283328246105,2.2351741790771484e-08,5.645579413363808e-06
sp|Q03135|CAV1_HUMAN,145363273.61521795,229913376.5632824,0.6349987661531323,2.2351741790771484e-08,5.645579413363808e-06
sp|Q8N335|GPD1L_HUMAN,228086955.58157215,64031037.9731585,-1.9634083544119962,2.2351741790771484e-08,5.645579413363808e-06
sp|Q9H4G4|GAPR1_HUMAN,18810029.130670946,66360580.791824654,1.657160008435611,2.2351741790771484e-08,5.645579413363808e-06
