Protein,Test_Methods,Test_Statistics,P_Value,Fold_Change,Adjusted_P_Value,log2_Fold_Change,Neg_log10_Adjusted_P_Value
sp|B7ZW38|HNRC3_HUMAN / sp|P0DMR1|HNRC4_HUMAN / sp|O60812|HNRC1_HUMAN,wilcoxon_signed_rank,44.0,0.00010570138692855835,0.36637264021704347,0.0010458988780827866,-1.4486163242499468,2.9805103028622457
sp|O00186|STXB3_HUMAN,wilcoxon_signed_rank,50.0,0.00021760910749435425,0.31933554410414,0.0017463312823836224,-1.646854951785772,2.757873366321343
sp|O00468|AGRIN_HUMAN,wilcoxon_signed_rank,30.0,1.5139579772949219e-05,0.47985682897213877,0.0002783710472428479,-1.0593240701837363,3.5553759367214703
sp|O00592|PODXL_HUMAN,wilcoxon_signed_rank,2.0,2.2351741790771484e-08,0.3915780134845084,5.645579413363808e-06,-1.3526283328246105,5.248291479228238
sp|O14735|CDIPT_HUMAN,wilcoxon_signed_rank,74.0,0.0024397894740104675,0.1724406828916531,0.010771434853519994,-2.535827913952528,1.9677264408561816
sp|O14745|NHRF1_HUMAN,wilcoxon_signed_rank,18.0,1.8849968910217285e-06,0.4424346252120498,7.86617398262024e-05,-1.1764637986751356,4.104236452172865
sp|O43175|SERA_HUMAN,wilcoxon_signed_rank,11.0,4.0978193283081055e-07,0.44247991055221364,2.9351395457538207e-05,-1.1763161393632,4.532371246201653
sp|O60279|SUSD5_HUMAN,wilcoxon_signed_rank,24.0,5.677342414855957e-06,0.37705486101659014,0.0001530649789263693,-1.407153645774468,3.8151241639643643
sp|O60762|DPM1_HUMAN,wilcoxon_signed_rank,60.0,0.0006467849016189575,0.22745273628911575,0.003964138879782091,-2.1363613043246565,2.4018511388319532
sp|O75891|AL1L1_HUMAN,wilcoxon_signed_rank,18.0,1.8849968910217285e-06,0.3964089753903654,7.86617398262024e-05,-1.3349384668620077,4.104236452172865
sp|O94788|AL1A2_HUMAN,wilcoxon_signed_rank,0.0,7.450580596923828e-09,0.1968634990879192,3.575533628463745e-06,-2.3447324522432313,5.446659132995071
sp|O95149|SPN1_HUMAN,wilcoxon_signed_rank,74.0,0.0024397894740104675,0.4328402750802402,0.010771434853519994,-1.2080933490609467,1.9677264408561816
sp|O95613|PCNT_HUMAN,wilcoxon_signed_rank,24.0,5.677342414855957e-06,0.22430096482113757,0.0001530649789263693,-2.156492268757975,3.8151241639643643
sp|P00488|F13A_HUMAN,wilcoxon_signed_rank,23.0,4.76837158203125e-06,0.49692286461945856,0.00013540482379981045,-1.0089061695938357,3.8683658636248572
sp|P00750|TPA_HUMAN,wilcoxon_signed_rank,1.0,1.4901161193847656e-08,0.42968172140501326,5.5008209668673e-06,-1.218659688497482,5.259572489637926
sp|P01033|TIMP1_HUMAN,wilcoxon_signed_rank,7.0,1.4156103134155273e-07,0.45633460343198684,1.3587027788162232e-05,-1.1318360387218107,4.86687553637826
