Protein,Test_Methods,Test_Statistics,P_Value,Fold_Change,Adjusted_P_Value
sp|A0A075B6H7|KV37_HUMAN,wilcoxon_signed_rank,159.0,0.3272097110748291,1.100659798648784,0.46540586942741696
sp|A0A075B6H9|LV469_HUMAN,wilcoxon_signed_rank,150.0,0.23591722548007965,1.1477510370561712,0.36392374319476123
sp|A0A075B6I0|LV861_HUMAN,wilcoxon_signed_rank,169.0,0.4514767527580261,1.1285588279338061,0.5881207753761584
sp|A0A075B6I1|LV460_HUMAN,wilcoxon_signed_rank,159.0,0.3272097110748291,1.3448879075619595,0.46540586942741696
sp|A0A075B6I4|LVX54_HUMAN,wilcoxon_signed_rank,196.0,0.8841757625341415,1.0391479501874779,0.9254437261507842
sp|A0A075B6I9|LV746_HUMAN,wilcoxon_signed_rank,153.0,0.26417163759469986,1.119516319251535,0.3966707411817787
sp|A0A075B6J1|LV537_HUMAN,wilcoxon_signed_rank,200.0,0.9553221687674522,1.0056658744994937,0.9737874018511052
sp|A0A075B6J9|LV218_HUMAN,wilcoxon_signed_rank,198.0,0.9196710959076881,1.0317222152538383,0.9493442867844688
sp|A0A075B6K4|LV310_HUMAN,wilcoxon_signed_rank,198.0,0.9196710959076881,1.0878346129613425,0.9493442867844688
sp|A0A075B6K5|LV39_HUMAN,wilcoxon_signed_rank,176.0,0.551873967051506,1.1102040663042054,0.6744189375808957
sp|A0A075B6Q5|HV364_HUMAN,wilcoxon_signed_rank,147.0,0.20980393886566162,1.1570010008351956,0.3332833838518074
sp|A0A075B6R2|HV404_HUMAN,wilcoxon_signed_rank,194.0,0.8489041775465012,1.0630834607078645,0.903502139730685
sp|A0A075B6S2|KVD29_HUMAN / sp|A2NJV5|KV229_HUMAN,wilcoxon_signed_rank,185.0,0.6947018131613731,1.022460787393326,0.7922704375858911
sp|A0A075B6S9|KV137_HUMAN / sp|P0DSN7|KVD37_HUMAN,wilcoxon_signed_rank,113.0,0.040213532745838165,1.4893951338132916,0.09446145063498647
sp|A0A087WSX0|LV545_HUMAN,wilcoxon_signed_rank,200.0,0.9553221687674522,0.9295200653432732,0.9737874018511052
sp|A0A087WSY6|KVD15_HUMAN,wilcoxon_signed_rank,147.0,0.20980393886566162,1.2440303250890459,0.3332833838518074
sp|A0A087WSZ0|KVD08_HUMAN,wilcoxon_signed_rank,181.0,0.6295278295874596,1.1252587113249901,0.7401038839270501
sp|A0A087WT02|TVA92_HUMAN,wilcoxon_signed_rank,73.0,0.0022339224815368652,1.4937348261561059,0.010104235616301053
sp|A0A0A0MS14|HV145_HUMAN,wilcoxon_signed_rank,180.0,0.6136380508542061,0.9256287195984628,0.7267643154119781
sp|A0A0A0MS15|HV349_HUMAN,wilcoxon_signed_rank,163.0,0.3740789592266083,1.0833200650815753,0.5127691874688641
sp|A0A0A0MT36|KVD21_HUMAN,wilcoxon_signed_rank,169.0,0.4514767527580261,1.1504747451742772,0.5881207753761584
sp|A0A0A0MT89|KJ01_HUMAN,wilcoxon_signed_rank,151.0,0.2450956031680107,1.151199766689048,0.374948613198369
sp|A0A0B4J1U3|LV136_HUMAN,wilcoxon_signed_rank,166.0,0.4117337390780449,1.1874477661291933,0.5497802487021529
sp|A0A0B4J1U7|HV601_HUMAN,wilcoxon_signed_rank,185.0,0.6947018131613731,0.9259259743314968,0.7922704375858911
sp|A0A0B4J1V0|HV315_HUMAN,wilcoxon_signed_rank,177.0,0.5670346617698669,1.0635562293652858,0.6866513605434245
sp|A0A0B4J1V2|HV226_HUMAN,wilcoxon_signed_rank,173.0,0.5075842142105103,1.0648700616310278,0.6355065598737905
